"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3068","test_catalog_home_loads","tests","Sat Aug 09 23:12:27 UTC 2025","passed","Sat Aug 09 23:12:30 UTC 2025","","test_catalog","",""
"","9733","test_section_pages_load[https://www.onliner.by/people]","tests","Sat Aug 09 23:14:46 UTC 2025","failed","Sat Aug 09 23:14:56 UTC 2025","","test_sections","",""
"/workspace/features/sections.feature: Section loads and shows header","9915","test_section_loads_and_shows_header[https://www.onliner.by/auto]","tests.bdd","Sat Aug 09 23:12:15 UTC 2025","failed","Sat Aug 09 23:12:25 UTC 2025","","test_bdd_steps","",""
"","4149","test_home_page_loads","tests","Sat Aug 09 23:13:43 UTC 2025","passed","Sat Aug 09 23:13:47 UTC 2025","","test_home","",""
"","4864","test_navigate_to_catalog","tests","Sat Aug 09 23:13:47 UTC 2025","passed","Sat Aug 09 23:13:52 UTC 2025","","test_home","",""
"/workspace/features/catalog.feature: Navigate to catalog from home","5341","test_navigate_to_catalog_from_home","tests.bdd","Sat Aug 09 23:11:50 UTC 2025","passed","Sat Aug 09 23:11:55 UTC 2025","","test_bdd_steps","",""
"","9762","test_section_pages_load[https://www.onliner.by/technology]","tests","Sat Aug 09 23:14:37 UTC 2025","failed","Sat Aug 09 23:14:46 UTC 2025","","test_sections","",""
"","9853","test_section_pages_load[https://www.onliner.by/realty]","tests","Sat Aug 09 23:14:56 UTC 2025","failed","Sat Aug 09 23:15:06 UTC 2025","","test_sections","",""
"","4209","test_section_pages_load[https://catalog.onliner.by/]","tests","Sat Aug 09 23:14:12 UTC 2025","passed","Sat Aug 09 23:14:16 UTC 2025","","test_sections","",""
"","1061","test_public_endpoints_return_200[https://catalog.onliner.by/]","tests","Sat Aug 09 23:12:26 UTC 2025","passed","Sat Aug 09 23:12:27 UTC 2025","","test_api_status","",""
"","13885","test_fast_search_overlay_opens","tests","Sat Aug 09 23:13:52 UTC 2025","skipped","Sat Aug 09 23:14:06 UTC 2025","","test_search","",""
"/workspace/features/sections.feature: Section loads and shows header","4292","test_section_loads_and_shows_header[https://catalog.onliner.by/]","tests.bdd","Sat Aug 09 23:12:01 UTC 2025","passed","Sat Aug 09 23:12:06 UTC 2025","","test_bdd_steps","",""
"","10111","test_section_pages_load[https://www.onliner.by/news]","tests","Sat Aug 09 23:14:16 UTC 2025","failed","Sat Aug 09 23:14:26 UTC 2025","","test_sections","",""
"","5782","test_section_pages_load[https://www.onliner.by/]","tests","Sat Aug 09 23:14:06 UTC 2025","passed","Sat Aug 09 23:14:12 UTC 2025","","test_sections","",""
"","10185","test_section_pages_load[https://www.onliner.by/money]","tests","Sat Aug 09 23:15:06 UTC 2025","failed","Sat Aug 09 23:15:16 UTC 2025","","test_sections","",""
"","36354","test_category_has_products_and_open_first","tests","Sat Aug 09 23:12:30 UTC 2025","skipped","Sat Aug 09 23:13:07 UTC 2025","","test_catalog","",""
"/workspace/features/home.feature: Home loads","4658","test_home_loads","tests.bdd","Sat Aug 09 23:11:45 UTC 2025","passed","Sat Aug 09 23:11:50 UTC 2025","","test_bdd_steps","",""
"","10029","test_section_pages_load[https://www.onliner.by/auto]","tests","Sat Aug 09 23:14:26 UTC 2025","failed","Sat Aug 09 23:14:36 UTC 2025","","test_sections","",""
"/workspace/features/sections.feature: Section loads and shows header","9794","test_section_loads_and_shows_header[https://www.onliner.by/news]","tests.bdd","Sat Aug 09 23:12:06 UTC 2025","failed","Sat Aug 09 23:12:15 UTC 2025","","test_bdd_steps","",""
"","897","test_public_endpoints_return_200[https://www.onliner.by/]","tests","Sat Aug 09 23:12:25 UTC 2025","passed","Sat Aug 09 23:12:26 UTC 2025","","test_api_status","",""
"","36347","test_category_pagination_next","tests","Sat Aug 09 23:13:07 UTC 2025","skipped","Sat Aug 09 23:13:43 UTC 2025","","test_catalog","",""
"/workspace/features/sections.feature: Section loads and shows header","6185","test_section_loads_and_shows_header[https://www.onliner.by/]","tests.bdd","Sat Aug 09 23:11:55 UTC 2025","passed","Sat Aug 09 23:12:01 UTC 2025","","test_bdd_steps","",""
